epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.234,0.90038,0.77843,1.13098,0.55595,0.47404,0.45843,0.32005,1.32554,1.23199,1.63115,0.0667692,3.3264e-05,3.3264e-05
2,313.261,0.81573,0.66747,1.0883,0.62333,0.69643,0.68086,0.51917,1.10663,0.85834,1.33694,0.0334683,6.56555e-05,6.56555e-05
3,470.933,0.77839,0.61501,1.07098,0.8114,0.64994,0.73582,0.57588,1.03708,0.74877,1.24971,0.000166404,9.71041e-05,9.71041e-05
4,603.355,0.76638,0.59689,1.06342,0.76605,0.69774,0.69154,0.54926,1.05533,0.76601,1.25786,9.57571e-05,9.57571e-05,9.57571e-05
5,737.639,0.76593,0.60114,1.0634,0.80262,0.67998,0.71272,0.55188,1.0462,0.74531,1.26939,9.43429e-05,9.43429e-05,9.43429e-05
6,883.299,0.76938,0.5972,1.05967,0.72667,0.71381,0.72109,0.57077,1.04047,0.76067,1.26039,9.29286e-05,9.29286e-05,9.29286e-05
7,1045.04,0.77157,0.60298,1.06736,0.79313,0.67679,0.76877,0.58181,1.05528,0.75191,1.26964,9.15143e-05,9.15143e-05,9.15143e-05
8,1199.06,0.76027,0.58819,1.05791,0.79736,0.66225,0.704,0.56232,1.02092,0.72331,1.2472,9.01e-05,9.01e-05,9.01e-05
9,1332.73,0.76911,0.5982,1.06513,0.8057,0.64231,0.70628,0.55699,1.03751,0.77271,1.26003,8.86857e-05,8.86857e-05,8.86857e-05
10,1476.27,0.76327,0.59368,1.06056,0.81802,0.67964,0.73011,0.57034,1.02375,0.73903,1.25395,8.72714e-05,8.72714e-05,8.72714e-05
11,1634.27,0.76599,0.59777,1.06322,0.87793,0.657,0.75155,0.5753,1.0391,0.76481,1.25986,8.58571e-05,8.58571e-05,8.58571e-05
12,1793.16,0.74915,0.58603,1.05637,0.8425,0.66592,0.76952,0.58959,1.03782,0.73893,1.25939,8.44429e-05,8.44429e-05,8.44429e-05
13,1955.08,0.76377,0.59204,1.06272,0.81721,0.67501,0.73953,0.57958,1.05391,0.75965,1.27928,8.30286e-05,8.30286e-05,8.30286e-05
14,2107.35,0.75603,0.58252,1.05741,0.81681,0.69797,0.73911,0.58462,1.03412,0.72914,1.25573,8.16143e-05,8.16143e-05,8.16143e-05
15,2242.17,0.76268,0.58553,1.05794,0.81258,0.68481,0.72407,0.57909,1.03349,0.74512,1.24367,8.02e-05,8.02e-05,8.02e-05
16,2398.89,0.75057,0.57979,1.05702,0.75385,0.6927,0.72086,0.58671,1.03308,0.73963,1.26351,7.87857e-05,7.87857e-05,7.87857e-05
17,2563.97,0.75547,0.58222,1.05991,0.76175,0.67777,0.73654,0.55439,1.04802,0.74223,1.2509,7.73714e-05,7.73714e-05,7.73714e-05
18,2730.54,0.75024,0.57467,1.05368,0.79024,0.67598,0.71531,0.5583,1.02455,0.74781,1.25358,7.59571e-05,7.59571e-05,7.59571e-05
19,2878.63,0.75618,0.5737,1.05631,0.80061,0.72263,0.73791,0.5837,1.05164,0.76086,1.27267,7.45429e-05,7.45429e-05,7.45429e-05
20,3011.21,0.76122,0.58323,1.0579,0.87301,0.69191,0.76848,0.61875,1.02813,0.73932,1.25192,7.31286e-05,7.31286e-05,7.31286e-05
21,3168.7,0.77602,0.58891,1.06519,0.83069,0.67316,0.71977,0.58144,1.02873,0.7442,1.24964,7.17143e-05,7.17143e-05,7.17143e-05
22,3325.76,0.77342,0.59432,1.06309,0.85329,0.68836,0.7521,0.58534,1.04037,0.77894,1.247,7.03e-05,7.03e-05,7.03e-05
23,3460.22,0.76668,0.58574,1.0619,0.83585,0.71085,0.77237,0.58868,1.04143,0.73704,1.2598,6.88857e-05,6.88857e-05,6.88857e-05
24,3600.41,0.76971,0.58629,1.06444,0.87964,0.64764,0.74599,0.59483,1.02738,0.72633,1.24601,6.74714e-05,6.74714e-05,6.74714e-05
25,3745.64,0.75806,0.57338,1.06095,0.78679,0.68288,0.72619,0.57334,1.03549,0.7553,1.25257,6.60571e-05,6.60571e-05,6.60571e-05
26,3881.75,0.761,0.57195,1.05682,0.76634,0.69768,0.75763,0.57305,1.02259,0.7248,1.24631,6.46429e-05,6.46429e-05,6.46429e-05
27,4023.33,0.74852,0.56896,1.0517,0.83713,0.68505,0.72498,0.57829,1.03258,0.74918,1.25569,6.32286e-05,6.32286e-05,6.32286e-05
28,4156.24,0.75249,0.56715,1.05469,0.85058,0.67348,0.76956,0.59158,1.02193,0.74295,1.23934,6.18143e-05,6.18143e-05,6.18143e-05
29,4298.3,0.74849,0.5711,1.05443,0.84932,0.70264,0.76983,0.61085,1.02189,0.72784,1.24699,6.04e-05,6.04e-05,6.04e-05
30,4458.61,0.74613,0.56432,1.05259,0.84332,0.67953,0.75764,0.58937,1.02253,0.73572,1.24311,5.89857e-05,5.89857e-05,5.89857e-05
